기준년월,지자체,방문자 구분,방문자수
202307,부산광역시,외국인방문자(c),223435.0
202307,부산광역시,외부방문자(b+c),1.2825367E7
202307,부산광역시,전체방문자(a+b+c),5.7715667E7
202307,대구광역시,현지인방문자(a),3.4646948E7
202307,대구광역시,외지인방문자(b),8671880.0
202307,대구광역시,외국인방문자(c),40412.0
202307,대구광역시,외부방문자(b+c),8712292.0
202307,대구광역시,전체방문자(a+b+c),4.335924E7
202307,인천광역시,현지인방문자(a),4.0861807E7
202307,인천광역시,외지인방문자(b),1.5029458E7
202307,인천광역시,외국인방문자(c),463131.0
202307,인천광역시,외부방문자(b+c),1.549259E7
202307,인천광역시,전체방문자(a+b+c),5.6354397E7
202307,광주광역시,현지인방문자(a),2.0380864E7
202307,광주광역시,외지인방문자(b),5634500.0
202307,광주광역시,외국인방문자(c),12273.0
202307,광주광역시,외부방문자(b+c),5646773.0
202307,광주광역시,전체방문자(a+b+c),2.6027637E7
202307,대전광역시,현지인방문자(a),2.0564428E7
202307,대전광역시,외지인방문자(b),6724263.0
202307,대전광역시,외국인방문자(c),20408.0
202307,대전광역시,외부방문자(b+c),6744671.0
202307,대전광역시,전체방문자(a+b+c),2.7309099E7
202307,울산광역시,현지인방문자(a),1.7103076E7
202307,울산광역시,외지인방문자(b),4207273.0
